library,species,version,experiment,tissue,condition,group,group.replicate,SampleDescription,SRA_run,SRA_study,publication.status,PI,Contact,sp.ver
BWCNH,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_3,leaf.trifoliate_stage_3,leaf.trifoliate_stage_3_3,Trifoliate leaf at stage 3 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031244,SRP141032,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNN,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_4,leaf.trifoliate_stage_4,leaf.trifoliate_stage_4_1,Trifoliate leaf at stage 4 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031236,SRP141040,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNO,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_4,leaf.trifoliate_stage_4,leaf.trifoliate_stage_4_2,Trifoliate leaf at stage 4 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031235,SRP141042,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNP,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_4,leaf.trifoliate_stage_4,leaf.trifoliate_stage_4_3,Trifoliate leaf at stage 4 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031230,SRP141046,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNS,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_5,leaf.trifoliate_stage_5,leaf.trifoliate_stage_5_1,Trifoliate leaf at stage 5 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031237,SRP141039,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNT,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_5,leaf.trifoliate_stage_5,leaf.trifoliate_stage_5_2,Trifoliate leaf at stage 5 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031239,SRP141036,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNU,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_5,leaf.trifoliate_stage_5,leaf.trifoliate_stage_5_3,Trifoliate leaf at stage 5 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031240,SRP141038,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
SZCT,Glycine max,Wm82.a4.v1,nitrogen,leaf,urea,leaf.urea,leaf.urea_1,Leaves from plants (4 week old) grown on urea (5 mM) as a sole nitrogen source,SRR1588540,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTP,Glycine max,Wm82.a4.v1,nitrogen,leaf,urea,leaf.urea,leaf.urea_2,Leaves from plants (4 week old) grown on urea (5 mM) as a sole nitrogen source,SRR1588541,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTU,Glycine max,Wm82.a4.v1,nitrogen,leaf,urea,leaf.urea,leaf.urea_3,Leaves from plants (4 week old) grown on urea (5 mM) as a sole nitrogen source,SRR1588526,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHWX,Glycine max,Wm82.a4.v1,circadian,nodules,1130AM,nodules.1130AM,nodules.1130AM_1,Nodules at 11.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478986,SRP130014,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBG,Glycine max,Wm82.a4.v1,circadian,nodules,1130AM,nodules.1130AM,nodules.1130AM_2,Nodules at 11.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479049,SRP129951,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNCN,Glycine max,Wm82.a4.v1,circadian,nodules,1130AM,nodules.1130AM,nodules.1130AM_3,Nodules at 11.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479000,SRP130000,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYA,Glycine max,Wm82.a4.v1,circadian,nodules,1130PM,nodules.1130PM,nodules.1130PM_1,Nodules at 11.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479020,SRP129980,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCOC,Glycine max,Wm82.a4.v1,circadian,nodules,1130PM,nodules.1130PM,nodules.1130PM_2,Nodules at 11.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031218,SRP141058,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZG,Glycine max,Wm82.a4.v1,circadian,nodules,130AM,nodules.130AM,nodules.130AM_1,Nodules at 1.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479030,SRP129970,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZY,Glycine max,Wm82.a4.v1,circadian,nodules,130AM,nodules.130AM,nodules.130AM_2,Nodules at 1.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478968,SRP130032,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBB,Glycine max,Wm82.a4.v1,circadian,nodules,130AM,nodules.130AM,nodules.130AM_3,Nodules at 1.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479054,SRP129946,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXB,Glycine max,Wm82.a4.v1,circadian,nodules,130PM,nodules.130PM,nodules.130PM_1,Nodules at 1.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478980,SRP130020,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXW,Glycine max,Wm82.a4.v1,circadian,nodules,130PM,nodules.130PM,nodules.130PM_2,Nodules at 1.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478994,SRP130006,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNCG,Glycine max,Wm82.a4.v1,circadian,nodules,130PM,nodules.130PM,nodules.130PM_3,Nodules at 1.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479019,SRP129981,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYZ,Glycine max,Wm82.a4.v1,circadian,nodules,330AM,nodules.330AM,nodules.330AM_1,Nodules at 3.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479031,SRP129969,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAC,Glycine max,Wm82.a4.v1,circadian,nodules,330AM,nodules.330AM,nodules.330AM_2,Nodules at 3.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479006,SRP129994,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCOH,Glycine max,Wm82.a4.v1,circadian,nodules,330AM,nodules.330AM,nodules.330AM_3,Nodules at 3.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031249,SRP141027,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHWN,Glycine max,Wm82.a4.v1,circadian,nodules,330PM,nodules.330PM,nodules.330PM_1,Nodules at 3.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479055,SRP129945,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXP,Glycine max,Wm82.a4.v1,circadian,nodules,330PM,nodules.330PM,nodules.330PM_2,Nodules at 3.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478987,SRP130012,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBN,Glycine max,Wm82.a4.v1,circadian,nodules,330PM,nodules.330PM,nodules.330PM_3,Nodules at 3.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479052,SRP129948,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCON,Glycine max,Wm82.a4.v1,circadian,nodules,530AM,nodules.530AM,nodules.530AM_1,Nodules at 5.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031250,SRP141026,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCOO,Glycine max,Wm82.a4.v1,circadian,nodules,530AM,nodules.530AM,nodules.530AM_2,Nodules at 5.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031220,SRP141055,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCOP,Glycine max,Wm82.a4.v1,circadian,nodules,530AM,nodules.530AM,nodules.530AM_3,Nodules at 5.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031243,SRP141033,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYU,Glycine max,Wm82.a4.v1,circadian,nodules,530PM,nodules.530PM,nodules.530PM_1,Nodules at 5.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479036,SRP129964,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZN,Glycine max,Wm82.a4.v1,circadian,nodules,530PM,nodules.530PM,nodules.530PM_2,Nodules at 5.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479043,SRP129956,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAS,Glycine max,Wm82.a4.v1,circadian,nodules,530PM,nodules.530PM,nodules.530PM_3,Nodules at 5.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479007,SRP129993,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHWT,Glycine max,Wm82.a4.v1,circadian,nodules,730AM,nodules.730AM,nodules.730AM_1,Nodules at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478981,SRP130019,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXG,Glycine max,Wm82.a4.v1,circadian,nodules,730AM,nodules.730AM,nodules.730AM_2,Nodules at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478996,SRP130004,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBW,Glycine max,Wm82.a4.v1,circadian,nodules,730AM,nodules.730AM,nodules.730AM_3,Nodules at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478973,SRP130027,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCOS,Glycine max,Wm82.a4.v1,circadian,nodules,730AM,nodules.730AM,nodules.730AM_4,Nodules at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031217,SRP141059,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCOT,Glycine max,Wm82.a4.v1,circadian,nodules,730AM,nodules.730AM,nodules.730AM_5,Nodules at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031246,SRP141030,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCOU,Glycine max,Wm82.a4.v1,circadian,nodules,730AM,nodules.730AM,nodules.730AM_6,Nodules at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031238,SRP141037,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYO,Glycine max,Wm82.a4.v1,circadian,nodules,730PM,nodules.730PM,nodules.730PM_1,Nodules at 7.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479021,SRP129979,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZT,Glycine max,Wm82.a4.v1,circadian,nodules,730PM,nodules.730PM,nodules.730PM_2,Nodules at 7.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479046,SRP129954,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAX,Glycine max,Wm82.a4.v1,circadian,nodules,730PM,nodules.730PM,nodules.730PM_3,Nodules at 7.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479014,SRP129986,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHWP,Glycine max,Wm82.a4.v1,circadian,nodules,930AM,nodules.930AM,nodules.930AM_1,Nodules at 9.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478979,SRP130021,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXT,Glycine max,Wm82.a4.v1,circadian,nodules,930AM,nodules.930AM,nodules.930AM_2,Nodules at 9.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478993,SRP130007,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBP,Glycine max,Wm82.a4.v1,circadian,nodules,930AM,nodules.930AM,nodules.930AM_3,Nodules at 9.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478976,SRP130024,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYH,Glycine max,Wm82.a4.v1,circadian,nodules,930PM,nodules.930PM,nodules.930PM_1,Nodules at 9.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479024,SRP129977,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZP,Glycine max,Wm82.a4.v1,circadian,nodules,930PM,nodules.930PM,nodules.930PM_2,Nodules at 9.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479041,SRP129959,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAU,Glycine max,Wm82.a4.v1,circadian,nodules,930PM,nodules.930PM,nodules.930PM_3,Nodules at 9.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479010,SRP129991,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
SZCG,Glycine max,Wm82.a4.v1,nitrogen,nodules,symbiotic_condition,nodules.symbiotic_condition,nodules.symbiotic_condition_1,Symbiotic nodules from 4 week old plants,SRR1588543,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
SZCN,Glycine max,Wm82.a4.v1,nitrogen,nodules,symbiotic_condition,nodules.symbiotic_condition,nodules.symbiotic_condition_2,Symbiotic nodules from 4 week old plants,SRR1588530,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THUA,Glycine max,Wm82.a4.v1,nitrogen,nodules,symbiotic_condition,nodules.symbiotic_condition,nodules.symbiotic_condition_3,Symbiotic nodules from 4 week old plants,SRR1588547,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUON,Glycine max,Wm82.a4.v1,standard.tissue,root_tip,standard,root_tip.standard,root_tip.standard_1,Root tips from plants (4 week old) grown on standard medium (B & D medium supplemented with 0.5mM ammonium nitrate),SRR5487694,SRP105603,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUNO,Glycine max,Wm82.a4.v1,standard.tissue,root_tip,standard,root_tip.standard,root_tip.standard_2,Root tips from plants (4 week old) grown on standard medium (B & D medium supplemented with 0.5mM ammonium nitrate),SRR5487723,SRP105632,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUOA,Glycine max,Wm82.a4.v1,standard.tissue,root_tip,standard,root_tip.standard,root_tip.standard_3,Root tips from plants (4 week old) grown on standard medium (B & D medium supplemented with 0.5mM ammonium nitrate),SRR5487698,SRP105607,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
SZCY,Glycine max,Wm82.a4.v1,nitrogen,root,ammonium,root.ammonium,root.ammonium_1,Roots from plants (4 week old) grown on ammonium phosphate (10 mM) as a sole nitrogen source,SRR1588539,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTN,Glycine max,Wm82.a4.v1,nitrogen,root,ammonium,root.ammonium,root.ammonium_2,Roots from plants (4 week old) grown on ammonium phosphate (10 mM) as a sole nitrogen source,SRR1588520,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTW,Glycine max,Wm82.a4.v1,nitrogen,root,ammonium,root.ammonium,root.ammonium_3,Roots from plants (4 week old) grown on ammonium phosphate (10 mM) as a sole nitrogen source,SRR1588548,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
SZCC,Glycine max,Wm82.a4.v1,nitrogen,root,nitrate,root.nitrate,root.nitrate_1,Roots from plants (4 week old) grown on potassium nitrate (10 mM) as a sole nitrogen source,SRR1588531,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
SZCU,Glycine max,Wm82.a4.v1,nitrogen,root,nitrate,root.nitrate,root.nitrate_2,Roots from plants (4 week old) grown on potassium nitrate (10 mM) as a sole nitrogen source,SRR1588535,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTY,Glycine max,Wm82.a4.v1,nitrogen,root,nitrate,root.nitrate,root.nitrate_3,Roots from plants (4 week old) grown on potassium nitrate (10 mM) as a sole nitrogen source,SRR1588523,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACCCY,Glycine max,Wm82.a4.v1,nitrogen,root,standard,root.standard,root.standard_1,Roots from plants (4 week old) grown on standard medium (B & D medium supplemented with 0.5mM ammonium nitrate),SRR5487705,SRP105614,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUHO,Glycine max,Wm82.a4.v1,nitrogen,root,standard,root.standard,root.standard_2,Roots from plants (4 week old) grown on standard medium (B & D medium supplemented with 0.5mM ammonium nitrate),SRR5487715,SRP105624,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUNB,Glycine max,Wm82.a4.v1,nitrogen,root,standard,root.standard,root.standard_3,Roots from plants (4 week old) grown on standard medium (B & D medium supplemented with 0.5mM ammonium nitrate),SRR5487727,SRP105636,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTH,Glycine max,Wm82.a4.v1,nitrogen,root,symbiotic_condition,root.symbiotic_condition,root.symbiotic_condition_1,Roots from plants (4 week old) in symbiotic condition,SRR1588538,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTS,Glycine max,Wm82.a4.v1,nitrogen,root,symbiotic_condition,root.symbiotic_condition,root.symbiotic_condition_2,Roots from plants (4 week old) in symbiotic condition,SRR1588546,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTX,Glycine max,Wm82.a4.v1,nitrogen,root,symbiotic_condition,root.symbiotic_condition,root.symbiotic_condition_3,Roots from plants (4 week old) in symbiotic condition,SRR1588525,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
SZCH,Glycine max,Wm82.a4.v1,nitrogen,root,urea,root.urea,root.urea_1,Roots from plants (4 week old) grown on urea (5 mM) as a sole nitrogen source,SRR1588545,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THUB,Glycine max,Wm82.a4.v1,nitrogen,root,urea,root.urea,root.urea_2,Roots from plants (4 week old) grown on urea (5 mM) as a sole nitrogen source,SRR1588534,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
